row-number,field,issue-type,value
1,organisation,default,government-organisation:OT1056
1,entry-date,default,2020-12-04
2,organisation,default,government-organisation:OT1056
2,entry-date,default,2020-12-04
3,organisation,default,government-organisation:OT1056
3,entry-date,default,2020-12-04
4,organisation,default,government-organisation:OT1056
4,entry-date,default,2020-12-04
5,organisation,default,government-organisation:OT1056
5,entry-date,default,2020-12-04
6,organisation,default,government-organisation:OT1056
6,entry-date,default,2020-12-04
7,organisation,default,government-organisation:OT1056
7,entry-date,default,2020-12-04
8,organisation,default,government-organisation:OT1056
8,entry-date,default,2020-12-04
9,end-date,date,2016-05
9,organisation,default,government-organisation:OT1056
9,entry-date,default,2020-12-04
10,organisation,default,government-organisation:OT1056
10,entry-date,default,2020-12-04
11,organisation,default,government-organisation:OT1056
11,entry-date,default,2020-12-04
12,organisation,default,government-organisation:OT1056
12,entry-date,default,2020-12-04
13,organisation,default,government-organisation:OT1056
13,entry-date,default,2020-12-04
14,organisation,default,government-organisation:OT1056
14,entry-date,default,2020-12-04
15,organisation,default,government-organisation:OT1056
15,entry-date,default,2020-12-04
16,organisation,default,government-organisation:OT1056
16,entry-date,default,2020-12-04
17,organisation,default,government-organisation:OT1056
17,entry-date,default,2020-12-04
18,start-date,date,2016-05
18,organisation,default,government-organisation:OT1056
18,entry-date,default,2020-12-04
19,organisation,default,government-organisation:OT1056
19,entry-date,default,2020-12-04
20,organisation,default,government-organisation:OT1056
20,entry-date,default,2020-12-04
21,organisation,default,government-organisation:OT1056
21,entry-date,default,2020-12-04
22,organisation,default,government-organisation:OT1056
22,entry-date,default,2020-12-04
23,organisation,default,government-organisation:OT1056
23,entry-date,default,2020-12-04
24,organisation,default,government-organisation:OT1056
24,entry-date,default,2020-12-04
25,organisation,default,government-organisation:OT1056
25,entry-date,default,2020-12-04
26,organisation,default,government-organisation:OT1056
26,entry-date,default,2020-12-04
27,organisation,default,government-organisation:OT1056
27,entry-date,default,2020-12-04
28,organisation,default,government-organisation:OT1056
28,entry-date,default,2020-12-04
29,organisation,default,government-organisation:OT1056
29,entry-date,default,2020-12-04
30,organisation,default,government-organisation:OT1056
30,entry-date,default,2020-12-04
31,organisation,default,government-organisation:OT1056
31,entry-date,default,2020-12-04
32,organisation,default,government-organisation:OT1056
32,entry-date,default,2020-12-04
33,organisation,default,government-organisation:OT1056
33,entry-date,default,2020-12-04
34,organisation,default,government-organisation:OT1056
34,entry-date,default,2020-12-04
35,organisation,default,government-organisation:OT1056
35,entry-date,default,2020-12-04
36,organisation,default,government-organisation:OT1056
36,entry-date,default,2020-12-04
37,organisation,default,government-organisation:OT1056
37,entry-date,default,2020-12-04
38,organisation,default,government-organisation:OT1056
38,entry-date,default,2020-12-04
39,organisation,default,government-organisation:OT1056
39,entry-date,default,2020-12-04
40,organisation,default,government-organisation:OT1056
40,entry-date,default,2020-12-04
41,organisation,default,government-organisation:OT1056
41,entry-date,default,2020-12-04
42,organisation,default,government-organisation:OT1056
42,entry-date,default,2020-12-04
43,organisation,default,government-organisation:OT1056
43,entry-date,default,2020-12-04
44,organisation,default,government-organisation:OT1056
44,entry-date,default,2020-12-04
45,organisation,default,government-organisation:OT1056
45,entry-date,default,2020-12-04
46,organisation,default,government-organisation:OT1056
46,entry-date,default,2020-12-04
47,organisation,default,government-organisation:OT1056
47,entry-date,default,2020-12-04
48,organisation,default,government-organisation:OT1056
48,entry-date,default,2020-12-04
49,organisation,default,government-organisation:OT1056
49,entry-date,default,2020-12-04
50,organisation,default,government-organisation:OT1056
50,entry-date,default,2020-12-04
51,organisation,default,government-organisation:OT1056
51,entry-date,default,2020-12-04
52,organisation,default,government-organisation:OT1056
52,entry-date,default,2020-12-04
53,organisation,default,government-organisation:OT1056
53,entry-date,default,2020-12-04
54,organisation,default,government-organisation:OT1056
54,entry-date,default,2020-12-04
55,organisation,default,government-organisation:OT1056
55,entry-date,default,2020-12-04
56,organisation,default,government-organisation:OT1056
56,entry-date,default,2020-12-04
57,organisation,default,government-organisation:OT1056
57,entry-date,default,2020-12-04
58,organisation,default,government-organisation:OT1056
58,entry-date,default,2020-12-04
59,organisation,default,government-organisation:OT1056
59,entry-date,default,2020-12-04
60,organisation,default,government-organisation:OT1056
60,entry-date,default,2020-12-04
61,organisation,default,government-organisation:OT1056
61,entry-date,default,2020-12-04
62,organisation,default,government-organisation:OT1056
62,entry-date,default,2020-12-04
63,organisation,default,government-organisation:OT1056
63,entry-date,default,2020-12-04
64,organisation,default,government-organisation:OT1056
64,entry-date,default,2020-12-04
65,organisation,default,government-organisation:OT1056
65,entry-date,default,2020-12-04
66,organisation,default,government-organisation:OT1056
66,entry-date,default,2020-12-04
67,organisation,default,government-organisation:OT1056
67,entry-date,default,2020-12-04
68,organisation,default,government-organisation:OT1056
68,entry-date,default,2020-12-04
69,organisation,default,government-organisation:OT1056
69,entry-date,default,2020-12-04
70,organisation,default,government-organisation:OT1056
70,entry-date,default,2020-12-04
71,organisation,default,government-organisation:OT1056
71,entry-date,default,2020-12-04
72,organisation,default,government-organisation:OT1056
72,entry-date,default,2020-12-04
73,organisation,default,government-organisation:OT1056
73,entry-date,default,2020-12-04
74,organisation,default,government-organisation:OT1056
74,entry-date,default,2020-12-04
75,organisation,default,government-organisation:OT1056
75,entry-date,default,2020-12-04
76,organisation,default,government-organisation:OT1056
76,entry-date,default,2020-12-04
77,organisation,default,government-organisation:OT1056
77,entry-date,default,2020-12-04
78,organisation,default,government-organisation:OT1056
78,entry-date,default,2020-12-04
79,organisation,default,government-organisation:OT1056
79,entry-date,default,2020-12-04
80,organisation,default,government-organisation:OT1056
80,entry-date,default,2020-12-04
81,organisation,default,government-organisation:OT1056
81,entry-date,default,2020-12-04
82,organisation,default,government-organisation:OT1056
82,entry-date,default,2020-12-04
83,organisation,default,government-organisation:OT1056
83,entry-date,default,2020-12-04
84,organisation,default,government-organisation:OT1056
84,entry-date,default,2020-12-04
85,organisation,default,government-organisation:OT1056
85,entry-date,default,2020-12-04
86,organisation,default,government-organisation:OT1056
86,entry-date,default,2020-12-04
87,organisation,default,government-organisation:OT1056
87,entry-date,default,2020-12-04
88,organisation,default,government-organisation:OT1056
88,entry-date,default,2020-12-04
89,organisation,default,government-organisation:OT1056
89,entry-date,default,2020-12-04
90,organisation,default,government-organisation:OT1056
90,entry-date,default,2020-12-04
91,organisation,default,government-organisation:OT1056
91,entry-date,default,2020-12-04
92,organisation,default,government-organisation:OT1056
92,entry-date,default,2020-12-04
93,organisation,default,government-organisation:OT1056
93,entry-date,default,2020-12-04
94,organisation,default,government-organisation:OT1056
94,entry-date,default,2020-12-04
95,organisation,default,government-organisation:OT1056
95,entry-date,default,2020-12-04
96,organisation,default,government-organisation:OT1056
96,entry-date,default,2020-12-04
97,organisation,default,government-organisation:OT1056
97,entry-date,default,2020-12-04
98,organisation,default,government-organisation:OT1056
98,entry-date,default,2020-12-04
99,organisation,default,government-organisation:OT1056
99,entry-date,default,2020-12-04
100,organisation,default,government-organisation:OT1056
100,entry-date,default,2020-12-04
101,organisation,default,government-organisation:OT1056
101,entry-date,default,2020-12-04
102,organisation,default,government-organisation:OT1056
102,entry-date,default,2020-12-04
103,organisation,default,government-organisation:OT1056
103,entry-date,default,2020-12-04
104,organisation,default,government-organisation:OT1056
104,entry-date,default,2020-12-04
105,organisation,default,government-organisation:OT1056
105,entry-date,default,2020-12-04
106,organisation,default,government-organisation:OT1056
106,entry-date,default,2020-12-04
107,organisation,default,government-organisation:OT1056
107,entry-date,default,2020-12-04
108,organisation,default,government-organisation:OT1056
108,entry-date,default,2020-12-04
109,organisation,default,government-organisation:OT1056
109,entry-date,default,2020-12-04
110,organisation,default,government-organisation:OT1056
110,entry-date,default,2020-12-04
111,organisation,default,government-organisation:OT1056
111,entry-date,default,2020-12-04
112,organisation,default,government-organisation:OT1056
112,entry-date,default,2020-12-04
113,organisation,default,government-organisation:OT1056
113,entry-date,default,2020-12-04
114,organisation,default,government-organisation:OT1056
114,entry-date,default,2020-12-04
115,organisation,default,government-organisation:OT1056
115,entry-date,default,2020-12-04
116,organisation,default,government-organisation:OT1056
116,entry-date,default,2020-12-04
117,organisation,default,government-organisation:OT1056
117,entry-date,default,2020-12-04
118,organisation,default,government-organisation:OT1056
118,entry-date,default,2020-12-04
119,organisation,default,government-organisation:OT1056
119,entry-date,default,2020-12-04
120,organisation,default,government-organisation:OT1056
120,entry-date,default,2020-12-04
121,organisation,default,government-organisation:OT1056
121,entry-date,default,2020-12-04
122,organisation,default,government-organisation:OT1056
122,entry-date,default,2020-12-04
123,organisation,default,government-organisation:OT1056
123,entry-date,default,2020-12-04
124,organisation,default,government-organisation:OT1056
124,entry-date,default,2020-12-04
125,organisation,default,government-organisation:OT1056
125,entry-date,default,2020-12-04
126,organisation,default,government-organisation:OT1056
126,entry-date,default,2020-12-04
127,organisation,default,government-organisation:OT1056
127,entry-date,default,2020-12-04
128,organisation,default,government-organisation:OT1056
128,entry-date,default,2020-12-04
129,organisation,default,government-organisation:OT1056
129,entry-date,default,2020-12-04
130,organisation,default,government-organisation:OT1056
130,entry-date,default,2020-12-04
131,organisation,default,government-organisation:OT1056
131,entry-date,default,2020-12-04
132,organisation,default,government-organisation:OT1056
132,entry-date,default,2020-12-04
133,organisation,default,government-organisation:OT1056
133,entry-date,default,2020-12-04
134,organisation,default,government-organisation:OT1056
134,entry-date,default,2020-12-04
135,organisation,default,government-organisation:OT1056
135,entry-date,default,2020-12-04
136,organisation,default,government-organisation:OT1056
136,entry-date,default,2020-12-04
137,organisation,default,government-organisation:OT1056
137,entry-date,default,2020-12-04
138,organisation,default,government-organisation:OT1056
138,entry-date,default,2020-12-04
139,organisation,default,government-organisation:OT1056
139,entry-date,default,2020-12-04
140,end-date,date,2014-05
140,organisation,default,government-organisation:OT1056
140,entry-date,default,2020-12-04
141,organisation,default,government-organisation:OT1056
141,entry-date,default,2020-12-04
142,organisation,default,government-organisation:OT1056
142,entry-date,default,2020-12-04
143,organisation,default,government-organisation:OT1056
143,entry-date,default,2020-12-04
144,organisation,default,government-organisation:OT1056
144,entry-date,default,2020-12-04
145,organisation,default,government-organisation:OT1056
145,entry-date,default,2020-12-04
146,organisation,default,government-organisation:OT1056
