addressbase-custodian,billing-authority,census-area,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,official-name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata,wikipedia
,,,,,2018-04-19,,,,Race Disparity Unit,,,,government-organisation:OT1254,,,,,,https://www.gov.uk/government/organisations/race-disparity-unit,,
,,,,,2018-04-19,,,,Government Property Agency,,,,government-organisation:EA1255,,,2018-04-01,,,https://www.gov.uk/government/organisations/government-property-agency,,
,,,,,2018-04-12,,,,Teaching Regulation Agency,,,,government-organisation:EA1256,,,2018-04-01,,,https://www.gov.uk/government/organisations/teaching-regulation-agency,,
,,,,2018-04-01,2018-04-12,,,,National College for Teaching and Leadership,,,,government-organisation:EA541,,,,,,https://www.gov.uk/government/organisations/national-college-for-teaching-and-leadership,,
,,,,,2018-03-13,,,,Office for Civil Society,,,,government-organisation:OT1251,,,,,,https://www.gov.uk/government/organisations/office-for-civil-society,,
,,,,,2018-03-05,,,,Commission for Countering Extremism,,,,government-organisation:OT1249,,,2018-01-24,,,https://www.gov.uk/government/organisations/commission-for-countering-extremism,,
,,,,,2018-03-05,,,,"Department of Culture, Arts and Leisure",,,,government-organisation:D853,,,,,,https://www.gov.uk/government/organisations/department-of-culture-arts-and-leisure,,
,,,,2007-05-09,2018-02-05,,,,Department for Constitutional Affairs,,,,government-organisation:D587,,,,,,https://www.gov.uk/government/organisations/department-for-constitutional-affairs,,
,,,,2010-05-12,2018-02-05,,,,"Department for Children, Schools and Families",,,,government-organisation:D609,,,,,,https://www.gov.uk/government/organisations/department-for-children-schools-and-families,,
,,,,,2018-02-05,,,,Office for Product Safety and Standards,,,,government-organisation:OT1246,,,2018-01-21,,,https://www.gov.uk/government/organisations/office-for-product-safety-and-standards,,
,,,,2009-06-05,2018-02-05,,,,"Department for Business, Enterprise and Regulatory Reform",,,,government-organisation:D611,,,,,,https://www.gov.uk/government/organisations/department-for-business-enterprise-and-regulatory-reform,,
,,,,,2018-02-05,,,,HM Inspectorate of Constabulary and Fire & Rescue Services,,,,government-organisation:OT281,,,,,,https://www.gov.uk/government/organisations/hm-inspectorate-of-constabulary-and-fire-rescue-services,,
,,,,,2018-01-09,,,,"Ministry of Housing, Communities and Local Government",,,,government-organisation:D4,,,,,,https://www.gov.uk/government/organisations/ministry-of-housing-communities-and-local-government,,
,,,,,2018-01-09,,,,Department of Health and Social Care,,,,government-organisation:D12,,,,,,https://www.gov.uk/government/organisations/department-of-health-and-social-care,,
,,,,,2017-12-15,,,,Gangmasters and Labour Abuse Authority,,,,government-organisation:PB200,,,,,,https://www.gov.uk/government/organisations/gangmasters-and-labour-abuse-authority,,
,,,,,2017-10-23,,,,NHS Resolution,,,,government-organisation:OT488,,,,,,https://www.gov.uk/government/organisations/nhs-litigation-authority,,
,,,,,2017-06-06,,,,Scottish Government,,,,government-organisation:DA1020,,,,,,https://www.gov.uk/government/organisations/the-scottish-government,,
,,,,,2017-04-25,,,,Regulator of Social Housing,,,,government-organisation:PB1218,,,,,,https://www.gov.uk/government/organisations/regulator-of-social-housing,,
,,,,,2017-04-25,,,,Education and Skills Funding Agency,,,,government-organisation:EO1216,,,,,,https://www.gov.uk/government/organisations/education-and-skills-funding-agency,,
,,,,,2017-04-25,,,,Judicial Office,,,,government-organisation:OT1215,,,,,,https://www.gov.uk/government/organisations/judicial-office,,
,,,,,2017-04-25,,,,Institute for Apprenticeships,,,,government-organisation:PB1214,,,,,,https://www.gov.uk/government/organisations/institute-for-apprenticeships,,
,,,,,2017-04-25,,,,Her Majesty’s Prison and Probation Service,,,,government-organisation:EA1213,,,,,,https://www.gov.uk/government/organisations/her-majestys-prison-and-probation-service,,
,,,,,2017-04-25,,,,Northern Ireland Housing Executive,,,,government-organisation:PB1212,,,,,,https://www.gov.uk/government/organisations/northern-ireland-housing-executive,,
,,,,,2017-04-25,,,,National Cyber Security Centre,,,,government-organisation:OT1211,,,,,,https://www.gov.uk/government/organisations/national-cyber-security-centre,,
,,,,,2017-04-25,,,,Preventing Sexual Violence Initiative,,,,government-organisation:OT1210,,,,,,https://www.gov.uk/government/organisations/preventing-sexual-violence-initiative,,
,,,,,2017-04-25,,,,Her Majesty's Government Communications Centre,,,,government-organisation:OT1209,,,,,,https://www.gov.uk/government/organisations/her-majestys-government-communications-centre,,
,,,,,2017-04-25,,,,Academy for Social Justice Commissioning,,,,government-organisation:OT1208,,,,,,https://www.gov.uk/government/organisations/academy-for-social-justice-commissioning,,
,,,,,2017-04-25,,,,Rail Safety and Standards Board,,,,government-organisation:OT1207,,,,,,https://www.gov.uk/government/organisations/rail-safety-and-standards-board,,
,,,,,2017-04-25,,,,Defence and Security Accelerator,,,,government-organisation:OT1206,,,,,,https://www.gov.uk/government/organisations/defence-and-security-accelerator,,
,,,,,2017-04-25,,,,Valuation Tribunal for England,,,,government-organisation:PB1204,,,,,,https://www.gov.uk/government/organisations/valuation-tribunal-for-england,,
,,,,,2017-04-25,,,,The Electoral Commission,,,,government-organisation:IM1203,,,,,,https://www.gov.uk/government/organisations/the-electoral-commission,,
,,,,,2017-04-25,,,,NHS Digital,,,,government-organisation:PB1202,,,,,,https://www.gov.uk/government/organisations/nhs-digital,,
,,,,,2017-04-25,,,,Cabinet Office Board,,,,government-organisation:OT1201,,,,,,https://www.gov.uk/government/organisations/cabinet-office-board,,
,,,,,2017-04-25,,,,Civil Service Board,,,,government-organisation:OT1200,,,,,,https://www.gov.uk/government/organisations/civil-service-board,,
,,,,,2017-04-25,,,,NHS Improvement,,,,government-organisation:PB1199,,,,,,https://www.gov.uk/government/organisations/nhs-improvement,,
,,,,,2017-04-25,,,,"Department for Business, Energy & Industrial Strategy",,,,government-organisation:D1198,,,,,,https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy,,
,,,,,2017-04-25,,,,Department for Exiting the European Union,,,,government-organisation:D1197,,,,,,https://www.gov.uk/government/organisations/department-for-exiting-the-european-union,,
,,,,,2017-04-25,,,,Department for International Trade,,,,government-organisation:D1196,,,,,,https://www.gov.uk/government/organisations/department-for-international-trade,,
,,,,2009-01-01,2017-04-25,,,,Iraq Inquiry,,,,government-organisation:OT1195,,,,,,https://www.gov.uk/government/organisations/iraq-inquiry,,
,,,,,2017-04-25,,,,Central Advisory Committee on Compensation,,,,government-organisation:PB1194,,,,,,https://www.gov.uk/government/organisations/central-advisory-committee-on-compensation,,
,,,,,2017-04-25,,,,Social Mobility Commission,,,,government-organisation:PB1193,,,,,,https://www.gov.uk/government/organisations/social-mobility-commission,,
,,,,,2017-04-25,,,,Pubs Code Adjudicator,,,,government-organisation:OT1192,,,,,,https://www.gov.uk/government/organisations/pubs-code-adjudicator,,
,,,,,2017-04-25,,,,Defence Safety Authority,,,,government-organisation:OT1191,,,,,,https://www.gov.uk/government/organisations/defence-safety-authority,,
,,,,,2017-04-25,,,,Lammy Review,,,,government-organisation:OT1190,,,,,,https://www.gov.uk/government/organisations/lammy-review,,
,,,,,2017-04-25,,,,Regulatory Delivery,,,,government-organisation:OT1189,,,,,,https://www.gov.uk/government/organisations/regulatory-delivery,,
,,,,,2017-04-25,,,,Office of Financial Sanctions Implementation,,,,government-organisation:OT1187,,,,,,https://www.gov.uk/government/organisations/office-of-financial-sanctions-implementation,,
,,,,,2017-04-25,,,,UK Government Investments,,,,government-organisation:OT1186,,,,,,https://www.gov.uk/government/organisations/uk-government-investments,,
,,,,,2017-04-25,,,,Independent Dormant Assets Commission,,,,government-organisation:PB1185,,,,,,https://www.gov.uk/government/organisations/dormant-assets-commission,,
,,,,,2017-04-25,,,,Porton Biopharma Limited,,,,government-organisation:OT1184,,,,,,https://www.gov.uk/government/organisations/porton-biopharma-limited,,
,,,,,2017-04-25,,,,"Digital, data and technology professions",,,,government-organisation:OT1182,,,,,,https://www.gov.uk/government/organisations/digital-data-and-technology-professions,,
,,,,,2017-04-25,,,,National Data Guardian,,,,government-organisation:OT1180,,,,,,https://www.gov.uk/government/organisations/national-data-guardian,,
,,,,,2017-04-25,,,,The Executive Office (Northern Ireland),,,,government-organisation:OT1179,,,,,,https://www.gov.uk/government/organisations/the-executive-office-northern-ireland,,
,,,,,2017-04-25,,,,"Department of Agriculture, Environment and Rural Affairs (Northern Ireland)",,,,government-organisation:OT1178,,,,,,https://www.gov.uk/government/organisations/department-of-agriculture-environment-and-rural-affairs-northern-ireland,,
,,,,,2017-04-25,,,,Department of Finance (Northern Ireland),,,,government-organisation:OT1177,,,,,,https://www.gov.uk/government/organisations/department-of-finance-northern-ireland,,
,,,,,2017-04-25,,,,Department for Infrastructure (Northern Ireland),,,,government-organisation:OT1176,,,,,,https://www.gov.uk/government/organisations/department-for-infrastructure-northern-ireland,,
,,,,,2017-04-25,,,,Department of Health (Northern Ireland),,,,government-organisation:OT1175,,,,,,https://www.gov.uk/government/organisations/department-of-health-northern-ireland,,
,,,,,2017-04-25,,,,Department for the Economy (Northern Ireland),,,,government-organisation:OT1174,,,,,,https://www.gov.uk/government/organisations/department-for-the-economy-northern-ireland,,
,,,,,2017-04-25,,,,Department for Communities (Northern Ireland),,,,government-organisation:OT1173,,,,,,https://www.gov.uk/government/organisations/department-for-communities-northern-ireland,,
,,,,,2017-04-25,,,,Committee on Fuel Poverty,,,,government-organisation:PB1172,,,,,,https://www.gov.uk/government/organisations/committee-on-fuel-poverty,,
,,,,,2017-04-25,,,,UK Holocaust Memorial Foundation,,,,government-organisation:PB1171,,,,,,https://www.gov.uk/government/organisations/uk-holocaust-memorial-foundation,,
,,,,,2017-04-25,,,,Financial Services Trade and Investment Board,,,,government-organisation:OT1169,,,,,,https://www.gov.uk/government/organisations/financial-services-trade-and-investment-board,,
,,,,,2017-04-25,,,,Service Complaints Ombudsman,,,,government-organisation:OT1168,,,,,,https://www.gov.uk/government/organisations/service-complaints-ombudsman,,
,,,,,2017-04-25,,,,Civil Service Fast Track Apprenticeship,,,,government-organisation:OT1167,,,,,,https://www.gov.uk/government/organisations/civil-service-fast-track-apprenticeship,,
,,,,,2017-04-25,,,,Infrastructure and Projects Authority,,,,government-organisation:OT1166,,,,,,https://www.gov.uk/government/organisations/infrastructure-and-projects-authority,,
,,,,,2017-04-25,,,,Historic England,,,,government-organisation:PB1164,,,,,,https://www.gov.uk/government/organisations/historic-england,,
,,,,,2017-04-25,,,,National Infrastructure Commission,,,,government-organisation:OT1161,,,,,,https://www.gov.uk/government/organisations/national-infrastructure-commission,,
,,,,,2017-04-25,,,,Commercial Court,,,,government-organisation:CO1159,,,,,,https://www.gov.uk/courts-tribunals/commercial-court,,
,,,,,2017-04-25,,,,Ebbsfleet Development Corporation,,,,government-organisation:PB1154,,,,,,https://www.gov.uk/government/organisations/ebbsfleet-development-corporation,,
,,,,,2017-04-25,,,,Defence and Security Media Advisory Committee,,,,government-organisation:OT1153,,,,,,https://www.gov.uk/government/organisations/defence-and-security-media-advisory-committee,,
,,,,,2017-04-25,,,,Disabled People’s Employment Corporation,,,,government-organisation:PB1152,,,,,,https://www.gov.uk/government/organisations/disabled-peoples-employment-corporation,,
,,,,,2017-04-25,,,,Payment Systems Regulator,,,,government-organisation:OT1151,,,,,,https://www.gov.uk/government/organisations/payment-systems-regulator,,
,,,,,2017-04-25,,,,Radioactive Waste Management,,,,government-organisation:OT1150,,,,,,https://www.gov.uk/government/organisations/radioactive-waste-management,,
,,,,,2017-04-25,,,,Independent Commission on Freedom of Information,,,,government-organisation:PB1149,,,,,,https://www.gov.uk/government/organisations/independent-commission-on-freedom-of-information,,
,,,,,2017-04-25,,,,British Business Bank,,,,government-organisation:OT1148,,,,,,https://www.gov.uk/government/organisations/british-business-bank,,
,,,,,2017-04-25,,,,Accelerated Access Review,,,,government-organisation:OT1137,,,,,,https://www.gov.uk/government/organisations/accelerated-access-review,,
,,,,,2017-04-25,,,,Independent Anti-slavery Commissioner,,,,government-organisation:IM1123,,,,,,https://www.gov.uk/government/organisations/independent-anti-slavery-commissioner,,
,,,,,2017-04-25,,,,Independent Family Returns Panel,,,,government-organisation:OT1122,,,,,,https://www.gov.uk/government/organisations/independent-family-returns-panel,,
,,,,,2017-04-25,,,,Civil Service Fast Stream,,,,government-organisation:OT1121,,,,,,https://www.gov.uk/government/organisations/civil-service-fast-stream,,
,,,,,2017-04-25,,,,Oil and Gas Authority,,,,government-organisation:EA1119,,,,,,https://www.gov.uk/government/organisations/oil-and-gas-authority,,
,,,,,2017-04-25,,,,Transport Focus,,,,government-organisation:PB1118,,,,,,https://www.gov.uk/government/organisations/transport-focus,,
,,,,,2017-04-25,,,,Office of Rail and Road,,,,government-organisation:D1117,,,2015-10-16,,,https://www.gov.uk/government/organisations/office-of-rail-and-road,,
,,,,,2017-04-25,,,,Government Commercial Function,,,,government-organisation:OT1116,,,,,,https://www.gov.uk/government/organisations/government-commercial-function,,
,,,,,2017-04-25,,,,Highways England,,,,government-organisation:EA1114,,,,,,https://www.gov.uk/government/organisations/highways-england,,
,,,,,2017-04-25,,,,Defence Electronics and Components Agency,,,,government-organisation:EA1113,,,,,,https://www.gov.uk/government/organisations/defence-electronics-and-components-agency,,
,,,,,2017-04-25,,,,United Kingdom Reserve Forces Association,,,,government-organisation:OT1112,,,,,,https://www.gov.uk/government/organisations/united-kingdom-reserve-forces-association,,
,,,,2016-03-17,2017-04-25,,,,Third Party Campaigning Review,,,,government-organisation:OT1111,,,,,,https://www.gov.uk/government/organisations/third-party-campaigning-review,,
,,,,,2017-04-25,,,,National Measurement and Regulation Office,,,,government-organisation:EA1109,,,,,,https://www.gov.uk/government/organisations/national-measurement-and-regulation-office,,
,,,,,2017-04-25,,,,Government Legal Department,,,,government-organisation:D1108,,,,,,https://www.gov.uk/government/organisations/government-legal-department,,
,,,,,2017-04-25,,,,Schools Commissioners Group,,,,government-organisation:OT1107,,,,,,https://www.gov.uk/government/organisations/schools-commissioners-group,,
,,,,,2017-04-25,,,,Estyn,,,,government-organisation:DA1105,,,,,,https://www.gov.uk/government/organisations/estyn,,
,,,,,2017-04-25,,,,NHS Wales Informatics Service,,,,government-organisation:OT1104,,,,,,https://www.gov.uk/government/organisations/nhs-wales-informatics-service,,
,,,,,2017-04-25,,,,Natural Resources Wales,,,,government-organisation:OT1103,,,,,,https://www.gov.uk/government/organisations/natural-resources-wales,,
,,,,,2017-04-25,,,,Careers Wales,,,,government-organisation:OT1102,,,,,,https://www.gov.uk/government/organisations/careers-wales,,
,,,,,2017-04-25,,,,Welsh Language Commissioner,,,,government-organisation:OT1101,,,,,,https://www.gov.uk/government/organisations/welsh-language-commissioner,,
,,,,,2017-04-25,,,,Independent Complaints Reviewer,,,,government-organisation:OT1099,,,,,,https://www.gov.uk/government/organisations/independent-complaints-reviewer,,
,,,,,2017-04-25,,,,Single Source Regulations Office,,,,government-organisation:PB1093,,,,,,https://www.gov.uk/government/organisations/single-source-regulations-office,,
,,,,,2017-04-25,,,,Office of the Registrar of Consultant Lobbyists,,,,government-organisation:OT1091,,,,,,https://www.gov.uk/government/organisations/office-of-the-registrar-of-consultant-lobbyists,,
,,,,,2017-04-25,,,,National Information Board,,,,government-organisation:OT1090,,,,,,https://www.gov.uk/government/organisations/national-information-board,,
,,,,,2017-04-25,,,,National Counter Terrorism Security Office,,,,government-organisation:OT1089,,,,,,https://www.gov.uk/government/organisations/national-counter-terrorism-security-office,,
,,,,,2017-04-25,,,,Higher Education Statistics Agency,,,,government-organisation:OT1088,,,,,,https://www.gov.uk/government/organisations/higher-education-statistical-agency,,
,,,,,2017-04-25,,,,Veterans UK,,,,government-organisation:OT1087,,,,,,https://www.gov.uk/government/organisations/veterans-uk,,
,,,,,2017-04-25,,,,Stabilisation Unit,,,,government-organisation:OT1086,,,,,,https://www.gov.uk/government/organisations/stabilisation-unit,,
,,,,,2017-04-25,,,,Financial Conduct Authority,,,,government-organisation:OT1085,,,,,,https://www.gov.uk/government/organisations/financial-conduct-authority,,
,,,,,2017-04-25,,,,Government Internal Audit Agency,,,,government-organisation:EA1084,,,,,,https://www.gov.uk/government/organisations/government-internal-audit-agency,,
,,,,,2017-04-25,,,,Police Remuneration Review Body,,,,government-organisation:PB1083,,,,,,https://www.gov.uk/government/organisations/police-remuneration-review-body,,
,,,,,2017-04-25,,,,Financial Services Organisation,,,,government-organisation:OT1082,,,,,,https://www.gov.uk/government/organisations/financial-services-organisation,,
,,,,,2017-04-25,,,,Regeneration Investment Organisation,,,,government-organisation:OT1081,,,,,,https://www.gov.uk/government/organisations/regeneration-investment-organisation,,
,,,,,2017-04-25,,,,District Valuer Services (DVS),,,,government-organisation:OT1080,,,,,,https://www.gov.uk/government/organisations/district-valuer-services-dvs,,
,,,,,2017-04-25,,,,Animal and Plant Health Agency,,,,government-organisation:EA1079,,,,,,https://www.gov.uk/government/organisations/animal-and-plant-health-agency,,
,,,,,2017-04-25,,,,Innovate UK,,,,government-organisation:PB1078,,,,,,https://www.gov.uk/government/organisations/innovate-uk,,
,,,,,2017-04-25,,,,Public Health Wales,,,,government-organisation:OT1077,,,,,,https://www.gov.uk/government/organisations/public-health-wales,,
,,,,,2017-04-25,,,,Civil Service Resourcing,,,,government-organisation:OT1076,,,,,,https://www.gov.uk/government/organisations/civil-service-resourcing,,
,,,,,2017-04-25,,,,National Records of Scotland,,,,government-organisation:OT1075,,,,,,https://www.gov.uk/government/organisations/national-records-of-scotland,,
,,,,,2017-04-25,,,,Information Services Division (Scotland),,,,government-organisation:OT1074,,,,,,https://www.gov.uk/government/organisations/information-services-division-scotland,,
,,,,,2017-04-25,,,,Department of Justice (Northern Ireland),,,,government-organisation:D1073,,,,,,https://www.gov.uk/government/organisations/department-of-justice-northern-ireland,,
,,,,,2017-04-25,,,,Agri-Food and Biosciences Institute (Northern Ireland),,,,government-organisation:PB1072,,,,,,https://www.gov.uk/government/organisations/agri-food-and-biosciences-institute,,
,,,,,2017-04-25,,,,Military Aviation Authority,,,,government-organisation:OT1071,,,,,,https://www.gov.uk/government/organisations/military-aviation-authority,,
,,,,,2017-04-25,,,,Government Security Profession,,,,government-organisation:OT1070,,,,,,https://www.gov.uk/government/organisations/government-security-profession,,
,,,,,2017-04-25,,,,Immigration Enforcement,,,,government-organisation:OT1069,,,,,,https://www.gov.uk/government/organisations/immigration-enforcement,,
,,,,,2017-04-25,,,,UKTI Life Sciences Organisation,,,,government-organisation:OT1068,,,,,,https://www.gov.uk/government/organisations/ukti-life-sciences-organisation,,
,,,,,2017-04-25,,,,Office for Disability Issues,,,,government-organisation:OT1066,,,,,,https://www.gov.uk/government/organisations/office-for-disability-issues,,
,,,,,2017-04-25,,,,Reserve Forces' and Cadets' Associations,,,,government-organisation:OT1065,,,,,,https://www.gov.uk/government/organisations/reserve-forces-and-cadets-associations,,
,,,,,2017-04-25,,,,Centre for Defence Enterprise,,,,government-organisation:OT1064,,,,,,https://www.gov.uk/government/organisations/centre-for-defence-enterprise,,
,,,,,2017-04-25,,,,Civil Nuclear Constabulary,,,,government-organisation:OT1063,,,,,,https://www.gov.uk/government/organisations/civil-nuclear-constabulary,,
,,,,,2017-04-25,,,,Company Names Tribunal,,,,government-organisation:PB1062,,,,,,https://www.gov.uk/government/organisations/company-names-tribunal,,
,,,,,2017-04-25,,,,Government Chemist,,,,government-organisation:OT1061,,,,,,https://www.gov.uk/government/organisations/government-chemist,,
,,,,,2017-04-25,,,,Rural Development Programme for England Network,,,,government-organisation:OT1060,,,,,,https://www.gov.uk/government/organisations/rural-development-programme-for-england-network,,
,,,,,2017-04-25,,,,Office for Nuclear Regulation,,,,government-organisation:PC1059,,,,,,https://www.gov.uk/government/organisations/office-for-nuclear-regulation,,
,,,,,2017-04-25,,,,The Jeffrey Review,,,,government-organisation:OT1058,,,,,,https://www.gov.uk/government/organisations/jeffrey-review,,
,,,,,2017-04-25,,,,Macur Review,,,,government-organisation:OT1057,,,,,,https://www.gov.uk/government/organisations/macur-review,,
,,,,,2017-04-25,,,,Government Digital Service,,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/government-digital-service,,
,,,,,2017-04-25,,,,Civil Service Reform,,,,government-organisation:OT1055,,,,,,https://www.gov.uk/government/organisations/civil-service-reform,,
,,,,,2017-04-25,,,,Medical Profession,,,,government-organisation:OT1054,,,,,,https://www.gov.uk/government/organisations/civil-service-medical-profession,,
,,,,,2017-04-25,,,,Government IT Profession,,,,government-organisation:OT1053,,,,,,https://www.gov.uk/government/organisations/civil-service-government-it-profession,,
,,,,,2017-04-25,,,,Intelligence Analysis,,,,government-organisation:OT1052,,,,,,https://www.gov.uk/government/organisations/civil-service-intelligence-analysis-profession,,
,,,,,2017-04-25,,,,British Cattle Movement Service,,,,government-organisation:OT1051,,,,,,https://www.gov.uk/government/organisations/british-cattle-movement-service,,
,,,,,2017-04-25,,,,Government Corporate Finance Profession,,,,government-organisation:OT1050,,,,,,https://www.gov.uk/government/organisations/civil-service-corporate-finance-profession-cfp,,
,,,,,2017-04-25,,,,Government Occupational Psychology Profession,,,,government-organisation:OT1049,,,,,,https://www.gov.uk/government/organisations/civil-service-government-occupational-psychology-profession,,
,,,,,2017-04-25,,,,Government Knowledge & Information Management Profession,,,,government-organisation:OT1048,,,,,,https://www.gov.uk/government/organisations/civil-service-government-knowledge-information-management-profession,,
,,,,,2017-04-25,,,,Government Veterinary Services,,,,government-organisation:OT1047,,,,,,https://www.gov.uk/government/organisations/civil-service-government-veterinary-services,,
,,,,,2017-04-25,,,,Government Tax Profession,,,,government-organisation:OT1046,,,,,,https://www.gov.uk/government/organisations/civil-service-government-tax-profession,,
,,,,,2017-04-25,,,,Government Planning Inspectors,,,,government-organisation:OT1045,,,,,,https://www.gov.uk/government/organisations/civil-service-government-planning-inspectors,,
,,,,,2017-04-25,,,,Government Planning Profession,,,,government-organisation:OT1044,,,,,,https://www.gov.uk/government/organisations/civil-service-the-government-planning-profession,,
,,,,,2017-04-25,,,,Government Social Research Profession,,,,government-organisation:OT1043,,,,,,https://www.gov.uk/government/organisations/civil-service-government-social-research-profession,,
,,,,,2017-04-25,,,,Government Operational Research Service,,,,government-organisation:OT1042,,,,,,https://www.gov.uk/government/organisations/civil-service-government-operational-research-service,,
,,,,,2017-04-25,,,,Government Statistical Service,,,,government-organisation:OT1041,,,,,,https://www.gov.uk/government/organisations/civil-service-government-statistical-service,,
,,,,,2017-04-25,,,,Government Science & Engineering Profession,,,,government-organisation:OT1040,,,,,,https://www.gov.uk/government/organisations/civil-service-government-science-engineering,,
,,,,,2017-04-25,,,,Government Property Profession,,,,government-organisation:OT1039,,,,,,https://www.gov.uk/government/organisations/civil-service-government-property-profession,,
,,,,,2017-04-25,,,,Internal Audit Profession,,,,government-organisation:OT1038,,,,,,https://www.gov.uk/government/organisations/civil-service-internal-audit-profession,,
,,,,,2017-04-25,,,,Government Economic Service,,,,government-organisation:OT1037,,,,,,https://www.gov.uk/government/organisations/civil-service-government-economic-service,,
,,,,,2017-04-25,,,,Human Resources Profession,,,,government-organisation:OT1036,,,,,,https://www.gov.uk/government/organisations/civil-service-human-resources-profession,,
,,,,,2017-04-25,,,,Government Finance Profession,,,,government-organisation:OT1035,,,,,,https://www.gov.uk/government/organisations/civil-service-government-finance-profession,,
,,,,,2017-04-25,,,,Government Communication Service,,,,government-organisation:OT1034,,,,,,https://www.gov.uk/government/organisations/civil-service-government-communication-service,,
,,,,,2017-04-25,,,,Government Legal Service,,,,government-organisation:OT1033,,,,,,https://www.gov.uk/government/organisations/civil-service-government-legal-service,,
,,,,,2017-04-25,,,,Procurement profession,,,,government-organisation:OT1032,,,,,,https://www.gov.uk/government/organisations/civil-service-procurement-profession,,
,,,,,2017-04-25,,,,Project Delivery Profession,,,,government-organisation:OT1031,,,,,,https://www.gov.uk/government/organisations/civil-service-project-delivery-profession,,
,,,,,2017-04-25,,,,Policy Profession,,,,government-organisation:OT1030,,,,,,https://www.gov.uk/government/organisations/civil-service-policy-profession,,
,,,,,2017-04-25,,,,Operational Delivery Profession,,,,government-organisation:OT1029,,,,,,https://www.gov.uk/government/organisations/civil-service-operational-delivery-profession,,
,,,,,2017-04-25,,,,Civil Service,,,,government-organisation:CS1028,,,,,,https://www.gov.uk/government/organisations/civil-service,,
,,,,,2017-04-25,,,,Office of the Schools Adjudicator,,,,government-organisation:OT1027,,,,,,https://www.gov.uk/government/organisations/office-of-the-schools-adjudicator,,
,,,,,2017-04-25,,,,Department for International Trade Defence & Security Organisation,,,,government-organisation:OT1026,,,,,,https://www.gov.uk/government/organisations/uk-trade-and-investment-defence-and-security-organisation,,
,,,,,2017-04-25,,,,Academy for Justice Commissioning,,,,government-organisation:OT1025,,,,,,https://www.gov.uk/government/organisations/academy-for-justice-commissioning,,
,,,,,2017-04-25,,,,HM Nautical Almanac Office,,,,government-organisation:OT1023,,,,,,https://www.gov.uk/government/organisations/hm-nautical-almanac-office,,
,,,,,2017-04-25,,,,UK Co-ordinating Body,,,,government-organisation:OT1022,,,,,,https://www.gov.uk/government/organisations/uk-co-ordinating-body,,
,,,,,2017-04-25,,,,Northern Ireland Executive,,,,government-organisation:DA1021,,,,,,https://www.gov.uk/government/organisations/northern-ireland-executive,,
,,,,,2017-04-25,,,,Welsh Government,,,,government-organisation:DA1019,,,,,,https://www.gov.uk/government/organisations/welsh-government,,
,,,,,2017-04-25,,,,Mid Staffordshire NHS Foundation Trust Public Inquiry 2010,,,,government-organisation:OT1018,,,,,,https://www.gov.uk/government/organisations/mid-staffordshire-nhs-foundation-trust-public-inquiry-2010,,
,,,,,2017-04-25,,,,Independent Medical Expert Group,,,,government-organisation:PB1017,,,,,,https://www.gov.uk/government/organisations/independent-medical-expert-group,,
,,,,,2017-04-25,,,,Bank of England,,,,government-organisation:OT1016,,,,,,https://www.gov.uk/government/organisations/bank-of-england,,
