addressbase-custodian,billing-authority,census-area,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,official-name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata,wikipedia
,,,,,2020-09-01,,,,"Foreign, Commonwealth & Development Office",,,,government-organisation:D13,,,,,,https://www.gov.uk/government/organisations/foreign-commonwealth-office,,
,,,,,2020-09-01,,,,FCO Services,,,,government-organisation:EA61,,,,,,https://www.gov.uk/government/organisations/fco-services,,
,,,,,2019-01-21,,,,UK Council for Internet Safety,,,,government-organisation:OT1268,,,,,,https://www.gov.uk/government/organisations/uk-council-for-internet-safety,,
,,,,,2019-01-21,,,,Employment Agency Standards Inspectorate,,,,government-organisation:OT1267,,,,,,https://www.gov.uk/government/organisations/employment-agency-standards-inspectorate,,
,,,,,2019-01-21,,,,Single Financial Guidance Body,,,,government-organisation:OT1266,,,,,,https://www.gov.uk/government/organisations/single-financial-guidance-body,,
,,,,2017-03-15,2019-01-07,,,,Royal Parks,,,,government-organisation:EA41,,,,,,https://www.gov.uk/government/organisations/royal-parks,,
,,,,2016-07-13,2018-10-18,,,,UKTI Education,,,,government-organisation:OT1067,,,,,,https://www.gov.uk/government/organisations/ukti-education,,
,,,,,2018-07-18,,,,"Department for Digital, Culture, Media and Sport",,,,government-organisation:D5,,,,,,https://www.gov.uk/government/organisations/department-for-digital-culture-media-sport,,
,,,,,2018-07-09,,,,"Department of Culture, Arts and Leisure Northern Ireland",,,,government-organisation:DA1146,,,,,,,,
,,,,,2018-06-08,,,,Export Control Joint Unit,,,,government-organisation:OT557,,,,,,https://www.gov.uk/government/organisations/export-control-organisation,,
,,,,,2018-05-22,,,,Office of the Secretary of State for Scotland,,,,government-organisation:D23,,,,,,https://www.gov.uk/government/organisations/office-of-the-secretary-of-state-for-scotland,,
