prefix,reference,entity
development-corporation,Q20648596,1
wikidata,Q20648596,1
statistical-geography,E51000002,1
development-corporation,Q4916714,2
wikidata,Q4916714,2
development-corporation,Q6670544,3
wikidata,Q6670544,3
statistical-geography,E51000001,3
development-corporation,Q6670837,4
wikidata,Q6670837,4
development-corporation,Q72456968,5
wikidata,Q72456968,5
statistical-geography,E51000004,5
development-corporation,Q72463795,6
wikidata,Q72463795,6
statistical-geography,E51000003,6
development-corporation,Q7799380,7
wikidata,Q7799380,7
development-corporation,Q7860503,8
wikidata,Q7860503,8
development-corporation,Q7986087,9
wikidata,Q7986087,9
government-organisation,D303,10
government-organisation,Q1334971,10
wikidata,Q1334971,10
government-organisation,D38,11
government-organisation,Q548721,11
wikidata,Q548721,11
addressbase-custodian,7655,11
company,09121572,11
government-organisation,Q601819,12
wikidata,Q601819,12
government-organisation,D4,12
government-organisation,D69,13
government-organisation,Q5635120,13
wikidata,Q5635120,13
government-organisation,EA39,14
government-organisation,Q7201367,14
wikidata,Q7201367,14
government-organisation,EA87,15
government-organisation,Q7912696,15
wikidata,Q7912696,15
government-organisation,PB1164,16
government-organisation,Q19604421,16
wikidata,Q19604421,16
government-organisation,PB1204,17
government-organisation,Q81075624,17
wikidata,Q81075624,17
government-organisation,PB1218,18
government-organisation,Q65071973,18
wikidata,Q65071973,18
government-organisation,PB1232,19
government-organisation,Q5890410,19
wikidata,Q5890410,19
government-organisation,PB160,20
government-organisation,Q39045922,20
wikidata,Q39045922,20
government-organisation,PB207,21
government-organisation,Q1478750,21
wikidata,Q1478750,21
government-organisation,PB372,22
government-organisation,Q39046108,22
wikidata,Q39046108,22
government-organisation,PB373,23
government-organisation,Q81054630,23
wikidata,Q81054630,23
company,03296985,23
government-organisation,PB375,24
government-organisation,Q81056025,24
wikidata,Q81056025,24
government-organisation,PC163,25
government-organisation,Q4787008,25
wikidata,Q4787008,25
local-authority-eng,ADU,26
local-authority-eng,Q72980889,26
local-authority,ADU,26
local-authority,E07000223,26
local-authority,Q72980889,26
wikidata,Q72980889,26
billing-authority,E3831,26
addressbase-custodian,3805,26
statistical-geography,E07000223,26
local-authority-eng,ALL,27
local-authority-eng,Q72980920,27
local-authority,ALL,27
local-authority,E07000026,27
local-authority,Q72980920,27
wikidata,Q72980920,27
billing-authority,E0931,27
addressbase-custodian,905,27
statistical-geography,E07000026,27
local-authority-eng,AMB,28
