source,attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
1a01b1a103efea9d4079e08bdbdfdb0f,crown-copyright,organisation,,fc7a371a4f4ac4d478fbc91dcdd52f6a34296ca78f25cb35c112d22652f98032,ogl3,government-organisation:D1342,development-corporation,2022-05-30,,
b72ad81169c0e8b293142554635c19cc,crown-copyright,organisation,,e01e10ea07ffbe377a35707bd610a85c216ec5ef664a1a76d9fbbe756e87a8b9,ogl3,government-organisation:D1342,government-organisation,2022-05-30,,
b122299c098dbb958b4138b83d2581cb,crown-copyright,organisation,,4175a82201581cd7701d336b95ddf3a69457a1985944d1fb19c778731b18eb12,ogl3,government-organisation:D1342,local-authority,2022-05-30,,
c6c206d70623f0247c8ea3331a38da15,crown-copyright,organisation,,af2d0626a6d325f2ccdd880bbb0d24d1412c8fd6439ce70379d6894d10fe4c5c,ogl3,government-organisation:D1342,national-park-authority,2022-05-30,,
cdbf29d3b4b271f520cf61be0cf592d6,crown-copyright,organisation,,e2131de27e2569f7015d8bb93fff17f9d8f70ce271b8487653c5c7ec1a9470c8,ogl3,government-organisation:D1342,nonprofit,2022-05-30,,
46da2ac0d26b9040c66479aa28aa9141,crown-copyright,organisation,,3db4679da662bde2fbb4ae4dfe3ba0a87d79a5836a28a8ab97a889aadf6ea655,ogl3,government-organisation:D1342,passenger-transport-executive,2022-05-30,,
bdd6b47a60047a302e8961f9d5a599a4,crown-copyright,organisation,,50dc792c5ae95b9471d476dcac3f20f7d65f1d9159bf00d7ccb9f46416c5b235,ogl3,government-organisation:D1342,public-authority,2022-05-30,,
4bc0d1379c41e701963fea6132f2d3f7,crown-copyright,organisation,,34a45731b6b37da0fcf779ef70092abfc97718891421fbd9f353e49400bfa83e,ogl3,government-organisation:D1342,regional-park-authority,2022-05-30,,
6195a586e5f49fb41b8eb277951a67d2,crown-copyright,organisation,,248b57e240f0c432dd97ad14348e3801cb7a85cc7f92e368e38e8903d82eacee,ogl3,government-organisation:D1342,waste-authority,2022-05-30,,
5e7731d8a6dd506d2c4879c6cd5b4d36,crown-copyright,organisation,,50b747102edf6443770c69067d781941798488f16281bddcf1dbece5f4ee7e5d,ogl3,government-organisation:D1342,national-park-authority,2022-06-06,,
e3b9f52f4fd12953ddb1523d63f72361,crown-copyright,organisation,,61126147b7b754003c06857b4d09a562eb1daaf682acebc07731914b20934921,ogl3,government-organisation:D1342,development-corporation,2022-06-06,,
1b8ed1ad19f00cebdb54c95bc880b2c7,crown-copyright,organisation,,9d88e786be4678cd08af282ea63c39ac9280d1e11438d38c17fb8fec47f6bef3,ogl3,government-organisation:D1342,local-authority,2022-06-07,,
435f2b5e8443b65eed9c3391764f7ee6,crown-copyright,organisation,,fd6eb23dd6e7bef690960998ab53424f0adc66ce2a2f95a3578386906d626102,ogl3,government-organisation:D1342,local-authority-type,2022-09-15,,
