resource,bytes,organisations,endpoints,start-date,end-date
06b648fc85727e52655a952b4d780bb20b09d773b93f47bd513eac5501f4e6ac,86044,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2020-12-18,2020-12-18
07535526459f900572d8756e561032c09161cff73235309beb9bf1518b687eae,86600,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2021-01-05,2021-01-05
0fe41ea5e2e4b4eef6d48c43ef3673e38a3b37d7127661617e2491b796827895,86600,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2021-01-01,2021-01-01
25e12bcfe0a8f823fd5d7fb3fd32013db488811273e5c5716b77d81bd4c0e6a9,86427,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2020-12-20,2020-12-20
2afc936f444244cecc1517f49beb220bffcbfcd53db9b07490fdc4fef7c03d93,86587,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2020-12-29,2020-12-29
2b191462f1f41bb4e8beb98a2c5851456b8cdbe1cdabb946f31465c75c43a471,86587,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2020-12-25,2020-12-25
3b9c5308dc190784c062e58f6367948e902c72a96beceadd31b5a3c770f89caa,415,,67b2b91aba2a69faab4e0603ae84125f7aa7e0c1516274fbbc2910bcf03e344a,2020-12-23,2021-01-04
4604ddc11402fee7ce8449bf4251ba8d93b45c663bd395d6878f9ffbc0a17246,86587,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2020-12-22,2020-12-22
48fbba8b559a76aa52ab8f122015b18c45429f533b49efbb7a4dd39a4b2a924f,86053,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2020-12-16,2020-12-16
69cfadd357815eb3eb320f65820c12ff3d20d69f3c460a9ced028663d00494ce,86600,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2021-01-08,2021-01-08
760ff14175e084572e819c7b5b2a869ba7937975cfc1f60ac23e49bd5a316b2b,86600,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2021-01-10,2021-01-10
82f0f4f119bd6c3e7925ba7a0f61511fe0f0461b96c6af7720e6f20c551e7b62,86600,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2021-01-06,2021-01-06
87d5caeb0f71c871729fb90be5293ab752d501409d142c7ad05d2f6061b9ef8e,86587,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2020-12-26,2020-12-26
97dbc04dfc0814bea582cc4b479af5b90b721595099cf28737fc18020b7caf88,86587,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2020-12-24,2020-12-24
a8755eca996f61bed6f359d768fe293f3c6ae5fe64dfeb6b47134bf02461ba45,86587,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2020-12-31,2020-12-31
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,33096,government-organisation:D4,c9cddc7aff1769b10cc90bf15c8caccaeb0ad0112492e2aa120c4539207a9cf7,2020-12-04,2021-01-11
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,10346,government-organisation:D7,7dc49312a700e8cf8256de0187925ceefe21f7cbab2c6ad626dc50f87eb05f77,2020-12-08,2021-01-11
b632d654a182c5cc4fe11ea25cb84e404c132ee24c896920563284346f9c177c,86600,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2021-01-04,2021-01-04
bbf98662584c13ce5935e2b8cde7d9a3e9eebc64d75d85a31f2cbfd9ba74b80f,86313,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2020-12-19,2020-12-19
bc8adea1d01be97e2c3113f307d950514d0c02d1ea1c460dba6d65465b0cd36f,86427,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2020-12-21,2020-12-21
c2404bb30ca0287496ed20c0fb62c0c7eedc272e3bfba1e5bdd7d3a1e47945d2,86600,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2021-01-07,2021-01-07
cb09d41d23681b7a17b6647cfce3df40c2bbd2ebd8e5c6e33a636ed9a5903180,86587,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2020-12-30,2020-12-30
cf43306d379309dbc402a4125bd447b8a9c04fa25ad47bd36d908c29e0bd17ad,415,,67b2b91aba2a69faab4e0603ae84125f7aa7e0c1516274fbbc2910bcf03e344a,2021-01-05,2021-01-11
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,156858,government-organisation:OT1056,4647e3b7de7ac238e7197bd760e4dcfab2b95b189c2fedfd1fab05cf94aed491,2020-12-04,2021-01-11
d30df0988413409a55f2f3e6f58934cb51e93abea725c0fbdee7f1fddddd039c,86053,,e4db640d9e14424f0957e2a84fb1e56e1c1c49a354bdc062a14651f334d22ce0,2020-12-17,2020-12-17
