resource,addressbase-custodian,billing-authority,census-area,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,official-name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata,wikipedia
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-12-15,,,,Gangmasters and Labour Abuse Authority,,,,government-organisation:PB200,,,,,,https://www.gov.uk/government/organisations/gangmasters-and-labour-abuse-authority,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-10-23,,,,NHS Resolution,,,,government-organisation:OT488,,,,,,https://www.gov.uk/government/organisations/nhs-litigation-authority,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-06-06,,,,Scottish Government,,,,government-organisation:DA1020,,,,,,https://www.gov.uk/government/organisations/the-scottish-government,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Regulator of Social Housing,,,,government-organisation:PB1218,,,,,,https://www.gov.uk/government/organisations/regulator-of-social-housing,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Education and Skills Funding Agency,,,,government-organisation:EO1216,,,,,,https://www.gov.uk/government/organisations/education-and-skills-funding-agency,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Judicial Office,,,,government-organisation:OT1215,,,,,,https://www.gov.uk/government/organisations/judicial-office,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Institute for Apprenticeships,,,,government-organisation:PB1214,,,,,,https://www.gov.uk/government/organisations/institute-for-apprenticeships,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Her Majesty’s Prison and Probation Service,,,,government-organisation:EA1213,,,,,,https://www.gov.uk/government/organisations/her-majestys-prison-and-probation-service,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Northern Ireland Housing Executive,,,,government-organisation:PB1212,,,,,,https://www.gov.uk/government/organisations/northern-ireland-housing-executive,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,National Cyber Security Centre,,,,government-organisation:OT1211,,,,,,https://www.gov.uk/government/organisations/national-cyber-security-centre,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Preventing Sexual Violence Initiative,,,,government-organisation:OT1210,,,,,,https://www.gov.uk/government/organisations/preventing-sexual-violence-initiative,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Her Majesty's Government Communications Centre,,,,government-organisation:OT1209,,,,,,https://www.gov.uk/government/organisations/her-majestys-government-communications-centre,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Academy for Social Justice Commissioning,,,,government-organisation:OT1208,,,,,,https://www.gov.uk/government/organisations/academy-for-social-justice-commissioning,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Rail Safety and Standards Board,,,,government-organisation:OT1207,,,,,,https://www.gov.uk/government/organisations/rail-safety-and-standards-board,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Defence and Security Accelerator,,,,government-organisation:OT1206,,,,,,https://www.gov.uk/government/organisations/defence-and-security-accelerator,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Valuation Tribunal for England,,,,government-organisation:PB1204,,,,,,https://www.gov.uk/government/organisations/valuation-tribunal-for-england,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,The Electoral Commission,,,,government-organisation:IM1203,,,,,,https://www.gov.uk/government/organisations/the-electoral-commission,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,NHS Digital,,,,government-organisation:PB1202,,,,,,https://www.gov.uk/government/organisations/nhs-digital,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Cabinet Office Board,,,,government-organisation:OT1201,,,,,,https://www.gov.uk/government/organisations/cabinet-office-board,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Civil Service Board,,,,government-organisation:OT1200,,,,,,https://www.gov.uk/government/organisations/civil-service-board,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,NHS Improvement,,,,government-organisation:PB1199,,,,,,https://www.gov.uk/government/organisations/nhs-improvement,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,"Department for Business, Energy & Industrial Strategy",,,,government-organisation:D1198,,,,,,https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Department for Exiting the European Union,,,,government-organisation:D1197,,,,,,https://www.gov.uk/government/organisations/department-for-exiting-the-european-union,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Department for International Trade,,,,government-organisation:D1196,,,,,,https://www.gov.uk/government/organisations/department-for-international-trade,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2009-01-01,2017-04-25,,,,Iraq Inquiry,,,,government-organisation:OT1195,,,,,,https://www.gov.uk/government/organisations/iraq-inquiry,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Central Advisory Committee on Compensation,,,,government-organisation:PB1194,,,,,,https://www.gov.uk/government/organisations/central-advisory-committee-on-compensation,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Social Mobility Commission,,,,government-organisation:PB1193,,,,,,https://www.gov.uk/government/organisations/social-mobility-commission,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Pubs Code Adjudicator,,,,government-organisation:OT1192,,,,,,https://www.gov.uk/government/organisations/pubs-code-adjudicator,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Defence Safety Authority,,,,government-organisation:OT1191,,,,,,https://www.gov.uk/government/organisations/defence-safety-authority,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Lammy Review,,,,government-organisation:OT1190,,,,,,https://www.gov.uk/government/organisations/lammy-review,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Regulatory Delivery,,,,government-organisation:OT1189,,,,,,https://www.gov.uk/government/organisations/regulatory-delivery,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Office of Financial Sanctions Implementation,,,,government-organisation:OT1187,,,,,,https://www.gov.uk/government/organisations/office-of-financial-sanctions-implementation,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,UK Government Investments,,,,government-organisation:OT1186,,,,,,https://www.gov.uk/government/organisations/uk-government-investments,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Independent Dormant Assets Commission,,,,government-organisation:PB1185,,,,,,https://www.gov.uk/government/organisations/dormant-assets-commission,,
