resource,addressbase-custodian,billing-authority,census-area,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,official-name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata,wikipedia
48fbba8b559a76aa52ab8f122015b18c45429f533b49efbb7a4dd39a4b2a924f,,,,,,2020-06-27,,,,,,,,,,,,,ChichesterDC,https://www.chichester.gov.uk,Q73072573,https://en.wikipedia.org/wiki/Chichester_District_Council
48fbba8b559a76aa52ab8f122015b18c45429f533b49efbb7a4dd39a4b2a924f,,,,,,2020-12-01,,,,,,,,,,,1974-04-01,E11000001,,,Q23099,https://en.wikipedia.org/wiki/Greater_Manchester
48fbba8b559a76aa52ab8f122015b18c45429f533b49efbb7a4dd39a4b2a924f,,,,,,2020-12-01,,,,,,,,,,,1974-04-01,E11000001,,,Q23099,https://en.wikipedia.org/wiki/Greater_Manchester
48fbba8b559a76aa52ab8f122015b18c45429f533b49efbb7a4dd39a4b2a924f,,,,,,2020-12-01,,,,,,,,,,,1974-04-01,E11000001,,,Q23099,https://en.wikipedia.org/wiki/Greater_Manchester
48fbba8b559a76aa52ab8f122015b18c45429f533b49efbb7a4dd39a4b2a924f,,,,,,2020-10-13,,,,,,,,,,,,,,https://www.spelthorne.gov.uk,Q73072774,https://en.wikipedia.org/wiki/Spelthorne_Borough_Council
48fbba8b559a76aa52ab8f122015b18c45429f533b49efbb7a4dd39a4b2a924f,,,,,1986-03-31,2020-04-28,,,,,,,,,,,1974-04-01,,,,Q85811346,https://en.wikipedia.org/wiki/Tyne_and_Wear_County_Council
48fbba8b559a76aa52ab8f122015b18c45429f533b49efbb7a4dd39a4b2a924f,,,,,1986-03-31,2020-04-28,,,,,,,,,,,1974-04-01,,,,Q85811346,https://en.wikipedia.org/wiki/Tyne_and_Wear_County_Council
48fbba8b559a76aa52ab8f122015b18c45429f533b49efbb7a4dd39a4b2a924f,,,,,1974-03-31,2020-05-02,,,,,,,,,,,1970-01-01,,,,Q92232115,https://en.wikipedia.org/wiki/Tyneside_Passenger_Transport_Executive
48fbba8b559a76aa52ab8f122015b18c45429f533b49efbb7a4dd39a4b2a924f,,,,,1974-03-31,2020-05-02,,,,,,,,,,,1970-01-01,,,,Q92232115,https://en.wikipedia.org/wiki/Tyneside_Passenger_Transport_Executive
48fbba8b559a76aa52ab8f122015b18c45429f533b49efbb7a4dd39a4b2a924f,,,,,,2020-08-05,,,,,,,,,,,,,,https://www.shropshire.gov.uk,Q93612,https://en.wikipedia.org/wiki/Shropshire_Council
