resource,addressbase-custodian,billing-authority,census-area,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,official-name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata,wikipedia
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Upwell Internal Drainage Board,,,,internal-drainage-board:IDB99,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Upper Witham Internal Drainage Board,,,,internal-drainage-board:IDB98,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Upper Medway Internal Drainage Board,,,,internal-drainage-board:IDB97,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Trent Valley Internal Drainage Board,,,,internal-drainage-board:IDB96,,,2012-02-11,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Thorntree Internal Drainage Board,,,,internal-drainage-board:IDB95,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Swavesey Internal Drainage Board,,,,internal-drainage-board:IDB94,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Swale and Ure Internal Drainage Board,,,,internal-drainage-board:IDB93,,,2012-01-14,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Swaffham Internal Drainage Board,,,,internal-drainage-board:IDB92,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Sutton and Mepal Internal Drainage Board,,,,internal-drainage-board:IDB91,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Stringside Internal Drainage Board,,,,internal-drainage-board:IDB90,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Strine Internal Drainage Board,,,,internal-drainage-board:IDB89,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Stoke Ferry Internal Drainage Board,,,,internal-drainage-board:IDB88,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Sow and Penk Internal Drainage Board,,,,internal-drainage-board:IDB87,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Southery and District Internal Drainage Board,,,,internal-drainage-board:IDB86,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,South Holland Internal Drainage Board,,,,internal-drainage-board:IDB85,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,South Holderness Internal Drainage Board,,,,internal-drainage-board:IDB84,,,2013-02-07,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Selby Area Internal Drainage Board,,,,internal-drainage-board:IDB83,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Scunthorpe and Gainsborough Water Management Board,,,,internal-drainage-board:IDB82,,,2011-01-27,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Sawtry Internal Drainage Board,,,,internal-drainage-board:IDB81,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Romney Marshes Area Internal Drainage Board,,,,internal-drainage-board:IDB80,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,River Stour (Kent) Internal Drainage Board,,,,internal-drainage-board:IDB79,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,River Lugg Internal Drainage Board,,,,internal-drainage-board:IDB78,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Reedness and Swinefleet Drainage Board,,,,internal-drainage-board:IDB77,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Rea Internal Drainage Board,,,,internal-drainage-board:IDB76,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Rawcliffe Internal Drainage Board,,,,internal-drainage-board:IDB75,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Ransonmoor District Drainage Commissioners,,,,internal-drainage-board:IDB74,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Ramsey Upwood and Great Raveley Internal Drainage Board,,,,internal-drainage-board:IDB73,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Ramsey Fourth (Middlemoor) Internal Drainage Board,,,,internal-drainage-board:IDB72,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Ramsey First (Hollow) Internal Drainage Board,,,,internal-drainage-board:IDB71,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Ramsey Internal Drainage Board,,,,internal-drainage-board:IDB70,,,2005-10-01,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Parrett Internal Drainage Board,,,,internal-drainage-board:IDB69,,,2005-04-01,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Padnal and Waterden Internal Drainage Board,,,,internal-drainage-board:IDB68,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Over and Willingham Internal Drainage Board,,,,internal-drainage-board:IDB67,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Ouse and Humber Drainage Board,,,,internal-drainage-board:IDB66,,,2012-02-11,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Ouse and Derwent Internal Drainage Board,,,,internal-drainage-board:IDB65,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Old West Internal Drainage Board,,,,internal-drainage-board:IDB64,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Northwold Internal Drainage Board,,,,internal-drainage-board:IDB63,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,North Somerset Levels Internal Drainage Board,,,,internal-drainage-board:IDB62,,,2005-11-01,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,North Level District Internal Drainage Board,,,,internal-drainage-board:IDB61,,,2006-02-10,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,North East Lindsey Drainage Board,,,,internal-drainage-board:IDB60,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Norfolk Rivers Internal Drainage Board,,,,internal-drainage-board:IDB59,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Nordelph Internal Drainage Board,,,,internal-drainage-board:IDB58,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Nightlayers Internal Drainage Board,,,,internal-drainage-board:IDB57,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Needham and Ladus Internal Drainage Board,,,,internal-drainage-board:IDB56,,,2012-02-25,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Mildenhall Internal Drainage Board,,,,internal-drainage-board:IDB55,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Middle Level Commissioners,,,,internal-drainage-board:IDB54,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Middle Fen and Mere Internal Drainage Board,,,,internal-drainage-board:IDB53,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Melverley Internal Drainage Board,,,,internal-drainage-board:IDB52,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,March East Internal Drainage Board,,,,internal-drainage-board:IDB51,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,March Sixth District Drainage Commissioners,,,,internal-drainage-board:IDB50,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,March Fifth District Drainage Commissioners,,,,internal-drainage-board:IDB49,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,March Third District Drainage Commissioners,,,,internal-drainage-board:IDB48,,,,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,March west and White Fen Internal Drainage Board,,,,internal-drainage-board:IDB47,,,2016-04-02,,,,,
af14ba711cb80895ee847e45189536e93685e7b0875aa9448c783072ce0e25d7,,,,,,2017-03-21,,,,Manea and Welney District Drainage Commissioners,,,,internal-drainage-board:IDB46,,,,,,,,
