resource,addressbase-custodian,billing-authority,census-area,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2010-05-12,2020-12-04,,,,"Department for Children, Schools and Families",,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/department-for-children-schools-and-families,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Office for Product Safety and Standards,,,government-organisation:OT1056,,,2018-01-21,,,https://www.gov.uk/government/organisations/office-for-product-safety-and-standards,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2009-06-05,2020-12-04,,,,"Department for Business, Enterprise and Regulatory Reform",,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/department-for-business-enterprise-and-regulatory-reform,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,HM Inspectorate of Constabulary and Fire & Rescue Services,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/hm-inspectorate-of-constabulary-and-fire-rescue-services,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,"Ministry of Housing, Communities and Local Government",,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/ministry-of-housing-communities-and-local-government,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Department of Health and Social Care,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/department-of-health-and-social-care,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Gangmasters and Labour Abuse Authority,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/gangmasters-and-labour-abuse-authority,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,NHS Resolution,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/nhs-litigation-authority,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Scottish Government,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/the-scottish-government,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Regulator of Social Housing,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/regulator-of-social-housing,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Education and Skills Funding Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/education-and-skills-funding-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Judicial Office,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/judicial-office,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Institute for Apprenticeships,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/institute-for-apprenticeships,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Her Majesty’s Prison and Probation Service,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/her-majestys-prison-and-probation-service,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Northern Ireland Housing Executive,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/northern-ireland-housing-executive,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,National Cyber Security Centre,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/national-cyber-security-centre,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Preventing Sexual Violence Initiative,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/preventing-sexual-violence-initiative,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Her Majesty's Government Communications Centre,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/her-majestys-government-communications-centre,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Academy for Social Justice Commissioning,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/academy-for-social-justice-commissioning,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Rail Safety and Standards Board,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/rail-safety-and-standards-board,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Defence and Security Accelerator,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/defence-and-security-accelerator,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Valuation Tribunal for England,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/valuation-tribunal-for-england,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,The Electoral Commission,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/the-electoral-commission,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,NHS Digital,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/nhs-digital,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Cabinet Office Board,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/cabinet-office-board,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Civil Service Board,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/civil-service-board,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,NHS Improvement,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/nhs-improvement,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,"Department for Business, Energy & Industrial Strategy",,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Department for Exiting the European Union,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/department-for-exiting-the-european-union,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Department for International Trade,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/department-for-international-trade,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2009-01-01,2020-12-04,,,,Iraq Inquiry,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/iraq-inquiry,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Central Advisory Committee on Compensation,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/central-advisory-committee-on-compensation,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Social Mobility Commission,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/social-mobility-commission,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Pubs Code Adjudicator,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/pubs-code-adjudicator,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Defence Safety Authority,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/defence-safety-authority,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Lammy Review,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/lammy-review,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Regulatory Delivery,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/regulatory-delivery,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Office of Financial Sanctions Implementation,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/office-of-financial-sanctions-implementation,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,UK Government Investments,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/uk-government-investments,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Independent Dormant Assets Commission,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/dormant-assets-commission,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Porton Biopharma Limited,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/porton-biopharma-limited,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,"Digital, data and technology professions",,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/digital-data-and-technology-professions,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,National Data Guardian,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/national-data-guardian,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,The Executive Office (Northern Ireland),,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/the-executive-office-northern-ireland,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,"Department of Agriculture, Environment and Rural Affairs (Northern Ireland)",,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/department-of-agriculture-environment-and-rural-affairs-northern-ireland,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Department of Finance (Northern Ireland),,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/department-of-finance-northern-ireland,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Department for Infrastructure (Northern Ireland),,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/department-for-infrastructure-northern-ireland,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Department of Health (Northern Ireland),,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/department-of-health-northern-ireland,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Department for the Economy (Northern Ireland),,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/department-for-the-economy-northern-ireland,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Department for Communities (Northern Ireland),,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/department-for-communities-northern-ireland,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Committee on Fuel Poverty,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/committee-on-fuel-poverty,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,UK Holocaust Memorial Foundation,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/uk-holocaust-memorial-foundation,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Financial Services Trade and Investment Board,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/financial-services-trade-and-investment-board,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Service Complaints Ombudsman,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/service-complaints-ombudsman,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Civil Service Fast Track Apprenticeship,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/civil-service-fast-track-apprenticeship,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Infrastructure and Projects Authority,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/infrastructure-and-projects-authority,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Historic England,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/historic-england,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,National Infrastructure Commission,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/national-infrastructure-commission,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Commercial Court,,,government-organisation:OT1056,,,,,,https://www.gov.uk/courts-tribunals/commercial-court,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Ebbsfleet Development Corporation,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/ebbsfleet-development-corporation,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Defence and Security Media Advisory Committee,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/defence-and-security-media-advisory-committee,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Disabled People’s Employment Corporation,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/disabled-peoples-employment-corporation,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Payment Systems Regulator,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/payment-systems-regulator,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Radioactive Waste Management,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/radioactive-waste-management,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Independent Commission on Freedom of Information,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/independent-commission-on-freedom-of-information,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,British Business Bank,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/british-business-bank,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Accelerated Access Review,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/accelerated-access-review,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Independent Anti-slavery Commissioner,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/independent-anti-slavery-commissioner,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Independent Family Returns Panel,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/independent-family-returns-panel,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Civil Service Fast Stream,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/civil-service-fast-stream,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Oil and Gas Authority,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/oil-and-gas-authority,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Transport Focus,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/transport-focus,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Office of Rail and Road,,,government-organisation:OT1056,,,2015-10-16,,,https://www.gov.uk/government/organisations/office-of-rail-and-road,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Government Commercial Function,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/government-commercial-function,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Highways England,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/highways-england,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Defence Electronics and Components Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/defence-electronics-and-components-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,United Kingdom Reserve Forces Association,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/united-kingdom-reserve-forces-association,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2016-03-17,2020-12-04,,,,Third Party Campaigning Review,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/third-party-campaigning-review,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,National Measurement and Regulation Office,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/national-measurement-and-regulation-office,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Government Legal Department,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/government-legal-department,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Schools Commissioners Group,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/schools-commissioners-group,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Estyn,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/estyn,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,NHS Wales Informatics Service,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/nhs-wales-informatics-service,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Natural Resources Wales,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/natural-resources-wales,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Careers Wales,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/careers-wales,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Welsh Language Commissioner,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/welsh-language-commissioner,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Independent Complaints Reviewer,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/independent-complaints-reviewer,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Single Source Regulations Office,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/single-source-regulations-office,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Office of the Registrar of Consultant Lobbyists,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/office-of-the-registrar-of-consultant-lobbyists,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,National Information Board,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/national-information-board,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,National Counter Terrorism Security Office,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/national-counter-terrorism-security-office,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Higher Education Statistics Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/higher-education-statistical-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Veterans UK,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/veterans-uk,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Stabilisation Unit,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/stabilisation-unit,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Financial Conduct Authority,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/financial-conduct-authority,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Government Internal Audit Agency,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/government-internal-audit-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Police Remuneration Review Body,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/police-remuneration-review-body,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Financial Services Organisation,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/financial-services-organisation,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Regeneration Investment Organisation,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/regeneration-investment-organisation,
