resource,addressbase-custodian,billing-authority,census-area,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,"Foreign, Commonwealth & Development Office",,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/foreign-commonwealth-office,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,FCO Services,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/fco-services,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,UK Council for Internet Safety,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/uk-council-for-internet-safety,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Employment Agency Standards Inspectorate,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/employment-agency-standards-inspectorate,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Single Financial Guidance Body,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/single-financial-guidance-body,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2017-03-15,2020-12-04,,,,Royal Parks,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/royal-parks,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2016-07-13,2020-12-04,,,,UKTI Education,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/ukti-education,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,"Department for Digital, Culture, Media and Sport",,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/department-for-digital-culture-media-sport,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,"Department of Culture, Arts and Leisure Northern Ireland",,,government-organisation:OT1056,,,,,,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Export Control Joint Unit,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/export-control-organisation,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Office of the Secretary of State for Scotland,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/office-of-the-secretary-of-state-for-scotland,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Race Disparity Unit,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/race-disparity-unit,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Government Property Agency,,,government-organisation:OT1056,,,2018-04-01,,,https://www.gov.uk/government/organisations/government-property-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Teaching Regulation Agency,,,government-organisation:OT1056,,,2018-04-01,,,https://www.gov.uk/government/organisations/teaching-regulation-agency,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2018-04-01,2020-12-04,,,,National College for Teaching and Leadership,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/national-college-for-teaching-and-leadership,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Office for Civil Society,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/office-for-civil-society,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,Commission for Countering Extremism,,,government-organisation:OT1056,,,2018-01-24,,,https://www.gov.uk/government/organisations/commission-for-countering-extremism,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-12-04,,,,"Department of Culture, Arts and Leisure",,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/department-of-culture-arts-and-leisure,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2007-05-09,2020-12-04,,,,Department for Constitutional Affairs,,,government-organisation:OT1056,,,,,,https://www.gov.uk/government/organisations/department-for-constitutional-affairs,
