resource,addressbase-custodian,billing-authority,census-area,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,official-name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata,wikipedia
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2020-02-29,,UA,,Buckinghamshire,Buckinghamshire Council,,,local-authority-eng:BUC,,,2020-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2020-03-31,2020-02-29,,CTY,,Buckinghamshire,Buckinghamshire County Council,,,local-authority-eng:BKM,,,1905-06-19,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2020-03-31,2020-02-29,,NMD,,Aylesbury Vale,Aylesbury Vale District Council,,,local-authority-eng:AYL,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2020-03-31,2020-02-29,,NMD,,Chiltern,Chiltern District Council,,,local-authority-eng:CHN,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2020-03-31,2020-02-29,,NMD,,South Bucks,South Bucks District Council,,,local-authority-eng:SBU,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2020-03-31,2020-02-29,,NMD,,Wycombe,Wycombe District Council,,,local-authority-eng:WYO,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2018-10-10,,UA,,"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole Council",,,local-authority-eng:BPC,,,2019-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2018-10-09,,UA,,Dorset Council,Dorset Council,,,local-authority-eng:DST,,,2019-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2018-10-09,,NMD,,Somerset West and Taunton,Somerset West and Taunton Council,,,local-authority-eng:SWT,,,2019-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2018-10-09,,NMD,,West Suffolk,West Suffolk Council,,,local-authority-eng:WSK,,,2019-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2018-10-09,,NMD,,East Suffolk,East Suffolk Council,,,local-authority-eng:ESK,,,2019-04-01,,,,,
