resource,addressbase-custodian,billing-authority,census-area,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,official-name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata,wikipedia
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2019-03-31,2018-10-09,,NMD,,Weymouth and Portland,Weymouth and Portland Borough Council,,,local-authority-eng:WEY,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2019-03-31,2018-10-09,,NMD,,West Dorset,West Dorset District Council,,,local-authority-eng:WDO,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2019-03-31,2018-10-09,,NMD,,Purbeck,Purbeck District Council,,,local-authority-eng:PUR,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2019-03-31,2018-10-09,,NMD,,North Dorset,North Dorset District Council,,,local-authority-eng:NDO,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2019-03-31,2018-10-09,,NMD,,East Dorset,East Dorset District Council,,,local-authority-eng:EDO,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2019-03-31,2018-10-09,,CTY,,Dorset,Dorset County Council,,,local-authority-eng:DOR,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2019-03-31,2018-10-09,,NMD,,Christchurch,Christchurch Borough Council,,,local-authority-eng:CHC,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2019-03-31,2018-10-09,,UA,,Poole,Borough of Poole,,,local-authority-eng:POL,,,1997-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2019-03-31,2018-10-09,,UA,,Bournemouth,Bournemouth Borough Council,,,local-authority-eng:BMH,,,1905-06-19,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2019-03-31,2018-10-09,,NMD,,St Edmundsbury,St Edmundsbury Borough Council,,,local-authority-eng:SED,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2019-03-31,2018-10-09,,NMD,,Forest Heath,Forest Heath District Council,,,local-authority-eng:FOR,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2019-03-31,2018-10-09,,NMD,,West Somerset,West Somerset District Council,,,local-authority-eng:WSO,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2019-03-31,2018-10-09,,NMD,,Taunton Deane,Taunton Deane Borough Council,,,local-authority-eng:TAU,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2019-03-31,2018-10-09,,NMD,,Waveney,Waveney District Council,,,local-authority-eng:WAV,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,2019-03-31,2018-10-09,,NMD,,Suffolk Coastal,Suffolk Coastal District Council,,,local-authority-eng:SUF,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2018-10-09,,COMB,,Tees Valley Combined Authority,Tees Valley Combined Authority,,,local-authority-eng:TVCA,,,2014-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2018-10-09,,COMB,,Cambridgeshire and Peterborough Combined Authority,Cambridgeshire and Peterborough Combined Authority,,,local-authority-eng:CPCA,,,2014-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2018-10-09,,COMB,,West Midlands Combined Authority,West Midlands Combined Authority,,,local-authority-eng:WMCA,,,2014-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2018-10-09,,COMB,,Greater Manchester Combined Authority,Greater Manchester Combined Authority,,,local-authority-eng:GMCA,,,2014-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2018-10-09,,COMB,,West of England Combined Authority,West of England Combined Authority,,,local-authority-eng:WECA,,,2014-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2018-10-09,,COMB,,Sheffield City Region,Sheffield City Region,,,local-authority-eng:SCR,,,2014-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2018-10-09,,COMB,,Liverpool City Region,Liverpool City Region,,,local-authority-eng:LCR,,,2014-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2018-04-05,,NMD,,Folkestone & Hythe,Folkestone and Hythe Council,,,local-authority-eng:SHE,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2017-07-04,,MD,,Birmingham,Birmingham City Council,,,local-authority-eng:BIR,,,1986-07-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2017-01-26,,NMD,,King's Lynn and West Norfolk,Borough Council of King's Lynn and West Norfolk,,,local-authority-eng:KIN,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-11-01,,SRA,,Greater London,Greater London Authority,,,local-authority-eng:GLA,,,1905-06-22,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-31,,CC,,City of London,City of London Corporation,,,local-authority-eng:LND,,,1905-06-28,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Worthing,Worthing Borough Council,,,local-authority-eng:WOT,,,1905-06-25,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Mid Sussex,Mid Sussex District Council,,,local-authority-eng:MSS,,,1974-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Horsham,Horsham District Council,,,local-authority-eng:HOR,,,1974-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Crawley,Crawley Borough Council,,,local-authority-eng:CRW,,,1974-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Chichester,Chichester District Council,,,local-authority-eng:CHI,,,1974-04-01,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Arun,Arun District Council,,,local-authority-eng:ARU,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Adur,Adur District Council,,,local-authority-eng:ADU,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,CTY,,West Sussex,West Sussex County Council,,,local-authority-eng:WSX,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Wyre Forest,Wyre Forest District Council,,,local-authority-eng:WYE,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Wychavon,Wychavon District Council,,,local-authority-eng:WYC,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Worcester,Worcester City Council,,,local-authority-eng:WOC,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Redditch,Redditch Borough Council,,,local-authority-eng:RED,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Malvern Hills,Malvern Hills District Council,,,local-authority-eng:MAV,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Bromsgrove,Bromsgrove District Council,,,local-authority-eng:BRM,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,CTY,,Worcestershire,Worcestershire County Council,,,local-authority-eng:WOR,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Warwick,Warwick District Council,,,local-authority-eng:WAW,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Stratford-on-Avon,Stratford-on-Avon District Council,,,local-authority-eng:STR,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Rugby,Rugby Borough Council,,,local-authority-eng:RUG,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Nuneaton and Bedworth,Nuneaton and Bedworth Borough Council,,,local-authority-eng:NUN,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,North Warwickshire,North Warwickshire Borough Council,,,local-authority-eng:NWA,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,CTY,,Warwickshire,Warwickshire County Council,,,local-authority-eng:WAR,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Tamworth,Tamworth Borough Council,,,local-authority-eng:TAW,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Staffordshire Moorlands,Staffordshire Moorlands District Council,,,local-authority-eng:STF,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Stafford,Stafford Borough Council,,,local-authority-eng:STA,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,South Staffordshire,South Staffordshire Council,,,local-authority-eng:SST,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Newcastle-under-Lyme,Newcastle-under-Lyme Borough Council,,,local-authority-eng:NEC,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Lichfield,Lichfield District Council,,,local-authority-eng:LIF,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,East Staffordshire,East Staffordshire Borough Council,,,local-authority-eng:EST,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Cannock Chase,Cannock Chase District Council,,,local-authority-eng:CAN,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,CTY,,Staffordshire,Staffordshire County Council,,,local-authority-eng:STS,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Woking,Woking Borough Council,,,local-authority-eng:WOI,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Waverley,Waverley Borough Council,,,local-authority-eng:WAE,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Tandridge,Tandridge District Council,,,local-authority-eng:TAN,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Surrey Heath,Surrey Heath Borough Council,,,local-authority-eng:SUR,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Spelthorne,Spelthorne Borough Council,,,local-authority-eng:SPE,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Runnymede,Runnymede Borough Council,,,local-authority-eng:RUN,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Reigate and Banstead,Reigate and Banstead Borough Council,,,local-authority-eng:REI,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Mole Valley,Mole Valley District Council,,,local-authority-eng:MOL,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Guildford,Guildford Borough Council,,,local-authority-eng:GRT,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Epsom and Ewell,Epsom and Ewell Borough Council,,,local-authority-eng:EPS,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Elmbridge,Elmbridge Borough Council,,,local-authority-eng:ELM,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,CTY,,Surrey,Surrey County Council,,,local-authority-eng:SRY,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,South Somerset,South Somerset District Council,,,local-authority-eng:SSO,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Sedgemoor,Sedgemoor District Council,,,local-authority-eng:SEG,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Mendip,Mendip District Council,,,local-authority-eng:MEN,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,CTY,,Somerset,Somerset County Council,,,local-authority-eng:SOM,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Mid Suffolk,Mid Suffolk District Council,,,local-authority-eng:MSU,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Ipswich,Ipswich Borough Council,,,local-authority-eng:IPS,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Babergh,Babergh District Council,,,local-authority-eng:BAB,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,CTY,,Suffolk,Suffolk County Council,,,local-authority-eng:SFK,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,West Oxfordshire,West Oxfordshire District Council,,,local-authority-eng:WOX,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Vale of White Horse,Vale of White Horse District Council,,,local-authority-eng:VAL,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,South Oxfordshire,South Oxfordshire District Council,,,local-authority-eng:SOX,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Oxford,Oxford City Council,,,local-authority-eng:OXO,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Cherwell,Cherwell District Council,,,local-authority-eng:CHR,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,CTY,,Oxfordshire,Oxfordshire County Council,,,local-authority-eng:OXF,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Selby,Selby District Council,,,local-authority-eng:SEL,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Scarborough,Scarborough Borough Council,,,local-authority-eng:SCE,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Ryedale,Ryedale District Council,,,local-authority-eng:RYE,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Richmondshire,Richmondshire District Council,,,local-authority-eng:RIH,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Harrogate,Harrogate Borough Council,,,local-authority-eng:HAG,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Hambleton,Hambleton District Council,,,local-authority-eng:HAE,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Craven,Craven District Council,,,local-authority-eng:CRA,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,CTY,,North Yorkshire,North Yorkshire County Council,,,local-authority-eng:NYK,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Rushcliffe,Rushcliffe Borough Council,,,local-authority-eng:RUS,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Newark and Sherwood,Newark and Sherwood District Council,,,local-authority-eng:NEA,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Mansfield,Mansfield District Council,,,local-authority-eng:MAS,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Gedling,Gedling Borough Council,,,local-authority-eng:GED,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Broxtowe,Broxtowe Borough Council,,,local-authority-eng:BRT,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Bassetlaw,Bassetlaw District Council,,,local-authority-eng:BAE,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Ashfield,Ashfield District Council,,,local-authority-eng:ASH,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,CTY,,Nottinghamshire,Nottinghamshire County Council,,,local-authority-eng:NTT,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Wellingborough,Wellingborough Borough Council,,,local-authority-eng:WEL,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,South Northamptonshire,South Northamptonshire Council,,,local-authority-eng:SNR,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Northampton,Northampton Borough Council,,,local-authority-eng:NOR,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Kettering,Kettering Borough Council,,,local-authority-eng:KET,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,East Northamptonshire,East Northamptonshire Council,,,local-authority-eng:ENO,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Daventry,Daventry District Council,,,local-authority-eng:DAV,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Corby,Corby Borough Council,,,local-authority-eng:COR,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,CTY,,Northamptonshire,Northamptonshire County Council,,,local-authority-eng:NTH,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,South Norfolk,South Norfolk District Council,,,local-authority-eng:SNO,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Norwich,Norwich City Council,,,local-authority-eng:NOW,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,North Norfolk,North Norfolk District Council,,,local-authority-eng:NNO,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Great Yarmouth,Great Yarmouth Borough Council,,,local-authority-eng:GRY,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Broadland,Broadland District Council,,,local-authority-eng:BRO,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Breckland,Breckland District Council,,,local-authority-eng:BRE,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,CTY,,Norfolk,Norfolk County Council,,,local-authority-eng:NFK,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,West Lindsey,West Lindsey District Council,,,local-authority-eng:WLI,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,South Kesteven,South Kesteven District Council,,,local-authority-eng:SKE,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,South Holland,South Holland District Council,,,local-authority-eng:SHO,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,North Kesteven,North Kesteven District Council,,,local-authority-eng:NKE,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,City of Lincoln,City of Lincoln Council,,,local-authority-eng:LIC,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,East Lindsey,East Lindsey District Council,,,local-authority-eng:ELI,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Boston,Boston Borough Council,,,local-authority-eng:BOT,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,CTY,,Lincolnshire,Lincolnshire County Council,,,local-authority-eng:LIN,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Oadby and Wigston,Oadby and Wigston Borough Council,,,local-authority-eng:OAD,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,North West Leicestershire,North West Leicestershire District Council,,,local-authority-eng:NWL,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Melton,Melton Borough Council,,,local-authority-eng:MEL,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Hinckley and Bosworth,Hinckley and Bosworth Borough Council,,,local-authority-eng:HIN,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Harborough,Harborough District Council,,,local-authority-eng:HAO,,,,,,,,
a878c850cb37f513c60560fcb3865952e936f7d8429330e6674652b2fcfb1566,,,,,,2016-10-21,,NMD,,Charnwood,Charnwood Borough Council,,,local-authority-eng:CHA,,,,,,,,
