addressbase-custodian,billing-authority,census-area,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,official-name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata,wikipedia
,,,,,2017-03-21,,,,Upwell Internal Drainage Board,,,,internal-drainage-board:IDB99,,,,,,,,
,,,,,2017-03-21,,,,Upper Witham Internal Drainage Board,,,,internal-drainage-board:IDB98,,,,,,,,
,,,,,2017-03-21,,,,Upper Medway Internal Drainage Board,,,,internal-drainage-board:IDB97,,,,,,,,
,,,,,2017-03-21,,,,Trent Valley Internal Drainage Board,,,,internal-drainage-board:IDB96,,,2012-02-11,,,,,
,,,,,2017-03-21,,,,Thorntree Internal Drainage Board,,,,internal-drainage-board:IDB95,,,,,,,,
,,,,,2017-03-21,,,,Swavesey Internal Drainage Board,,,,internal-drainage-board:IDB94,,,,,,,,
,,,,,2017-03-21,,,,Swale and Ure Internal Drainage Board,,,,internal-drainage-board:IDB93,,,2012-01-14,,,,,
,,,,,2017-03-21,,,,Swaffham Internal Drainage Board,,,,internal-drainage-board:IDB92,,,,,,,,
,,,,,2017-03-21,,,,Sutton and Mepal Internal Drainage Board,,,,internal-drainage-board:IDB91,,,,,,,,
,,,,,2017-03-21,,,,Stringside Internal Drainage Board,,,,internal-drainage-board:IDB90,,,,,,,,
,,,,,2017-03-21,,,,Strine Internal Drainage Board,,,,internal-drainage-board:IDB89,,,,,,,,
,,,,,2017-03-21,,,,Stoke Ferry Internal Drainage Board,,,,internal-drainage-board:IDB88,,,,,,,,
,,,,,2017-03-21,,,,Sow and Penk Internal Drainage Board,,,,internal-drainage-board:IDB87,,,,,,,,
,,,,,2017-03-21,,,,Southery and District Internal Drainage Board,,,,internal-drainage-board:IDB86,,,,,,,,
,,,,,2017-03-21,,,,South Holland Internal Drainage Board,,,,internal-drainage-board:IDB85,,,,,,,,
,,,,,2017-03-21,,,,South Holderness Internal Drainage Board,,,,internal-drainage-board:IDB84,,,2013-02-07,,,,,
,,,,,2017-03-21,,,,Selby Area Internal Drainage Board,,,,internal-drainage-board:IDB83,,,,,,,,
,,,,,2017-03-21,,,,Scunthorpe and Gainsborough Water Management Board,,,,internal-drainage-board:IDB82,,,2011-01-27,,,,,
,,,,,2017-03-21,,,,Sawtry Internal Drainage Board,,,,internal-drainage-board:IDB81,,,,,,,,
,,,,,2017-03-21,,,,Romney Marshes Area Internal Drainage Board,,,,internal-drainage-board:IDB80,,,,,,,,
,,,,,2017-03-21,,,,River Stour (Kent) Internal Drainage Board,,,,internal-drainage-board:IDB79,,,,,,,,
,,,,,2017-03-21,,,,River Lugg Internal Drainage Board,,,,internal-drainage-board:IDB78,,,,,,,,
,,,,,2017-03-21,,,,Reedness and Swinefleet Drainage Board,,,,internal-drainage-board:IDB77,,,,,,,,
,,,,,2017-03-21,,,,Rea Internal Drainage Board,,,,internal-drainage-board:IDB76,,,,,,,,
,,,,,2017-03-21,,,,Rawcliffe Internal Drainage Board,,,,internal-drainage-board:IDB75,,,,,,,,
,,,,,2017-03-21,,,,Ransonmoor District Drainage Commissioners,,,,internal-drainage-board:IDB74,,,,,,,,
,,,,,2017-03-21,,,,Ramsey Upwood and Great Raveley Internal Drainage Board,,,,internal-drainage-board:IDB73,,,,,,,,
,,,,,2017-03-21,,,,Ramsey Fourth (Middlemoor) Internal Drainage Board,,,,internal-drainage-board:IDB72,,,,,,,,
,,,,,2017-03-21,,,,Ramsey First (Hollow) Internal Drainage Board,,,,internal-drainage-board:IDB71,,,,,,,,
,,,,,2017-03-21,,,,Ramsey Internal Drainage Board,,,,internal-drainage-board:IDB70,,,2005-10-01,,,,,
,,,,,2017-03-21,,,,Parrett Internal Drainage Board,,,,internal-drainage-board:IDB69,,,2005-04-01,,,,,
,,,,,2017-03-21,,,,Padnal and Waterden Internal Drainage Board,,,,internal-drainage-board:IDB68,,,,,,,,
,,,,,2017-03-21,,,,Over and Willingham Internal Drainage Board,,,,internal-drainage-board:IDB67,,,,,,,,
,,,,,2017-03-21,,,,Ouse and Humber Drainage Board,,,,internal-drainage-board:IDB66,,,2012-02-11,,,,,
,,,,,2017-03-21,,,,Ouse and Derwent Internal Drainage Board,,,,internal-drainage-board:IDB65,,,,,,,,
