end-date,entity,name,notes,parliament-thesaurus,prefix,reference,start-date,local-resilience-forum-boundary,statistical-geography,twitter,website,wikidata,wikipedia,whatdotheyknow-body
,3001,Avon & Somerset,,,,,,E48000001,E48000001,,,,,
,3002,Bedfordshire,,,,,,E48000002,E48000002,,,,,
,3003,Cambridgeshire,,,,,,E48000003,E48000003,,,,,
,3004,Cheshire,,,,,,E48000004,E48000004,,,,,
,3005,Cleveland,,,,,,E48000005,E48000005,,,,,
,3006,Cumbria,,,,,,E48000006,E48000006,,,,,
,3007,Derbyshire,,,,,,E48000007,E48000007,,,,,
,3008,"Devon, Cornwall & Isle of Scilly",,,,,,E48000008,E48000008,,,,,
,3009,Dorset,,,,,,E48000009,E48000009,,,,,
,3010,Durham & Darlington,,,,,,E48000010,E48000010,,,,,
,3011,Essex,,,,,,,E48000011,,,,,
,3012,Gloucestershire,,,,,,E48000012,E48000012,,,,,
,3013,Greater Manchester,,,,,,E48000013,E48000013,,,,,
,3014,Hampshire & Isle of Wight,,,,,,E48000014,E48000014,,,,,
,3015,Hertfordshire,,,,,,E48000015,E48000015,,,,,
,3016,Humber,,468896,,,,E48000016,E48000016,,https://www.humberlrf.gov.uk/,Q104604318,,humber_lrf
,3017,Kent,,,,,,E48000017,E48000017,,,,,
,3018,Lancashire,,,,,,E48000018,E48000018,,,,,
,3019,Leicestershire,,,,,,E48000019,E48000019,,,,,
,3020,Lincolnshire,,,,,,E48000020,E48000020,,,,,
,3021,London,,,,,,E48000021,E48000021,,,,,
,3022,Merseyside,,,,,,E48000022,E48000022,,,,,
,3023,Norfolk,,,,,,E48000023,E48000023,,,,,
,3024,North Yorkshire,,,,,,E48000024,E48000024,,,,,
,3025,Northamptonshire,,,,,,E48000025,E48000025,,,,,
,3026,Northumbria,,,,,,E48000026,E48000026,,,,,
,3027,Nottinghamshire,,,,,,E48000027,E48000027,,,,,
,3028,South Yorkshire,,,,,,E48000028,E48000028,,,,,
,3029,Staffordshire,,,,,,E48000029,E48000029,,,,,
,3030,Suffolk,,,,,,E48000030,E48000030,,,,,
,3031,Surrey,,,,,,E48000031,E48000031,,,,,
,3032,Sussex,,,,,,E48000032,E48000032,,,,,
,3033,Thames Valley,,,,,,E48000033,E48000033,,,,,
,3034,Warwickshire,,,,,,E48000034,E48000034,,,,,
,3035,West Mercia,,,,,,E48000035,E48000035,,,,,
,3036,West Midlands,,,,,,E48000036,E48000036,,,,,
,3037,West Yorkshire,,,,,,E48000037,E48000037,,,,,
,3038,Wiltshire & Swindon,,,,,,E48000038,E48000038,,,,,
